laptop_ID,SSD,HDD,Hybrid,Flash Storage
2,0,0,0,128
4,512,0,0,0
5,256,0,0,0
6,0,500,0,0
7,0,0,0,256
9,512,0,0,0
11,0,500,0,0
12,0,500,0,0
13,256,0,0,0
14,256,0,0,0
15,256,0,0,0
16,256,0,0,0
17,256,0,0,0
18,512,0,0,0
19,0,1024,0,0
20,128,0,0,0
21,0,0,0,32
22,128,1024,0,0
23,0,500,0,0
24,256,0,0,0
25,256,0,0,0
27,0,0,0,128
28,256,0,0,0
29,256,0,0,0
30,0,1024,0,0
32,0,0,0,32
33,0,500,0,0
35,0,0,0,256
36,0,0,0,64
37,0,1024,0,0
38,128,1024,0,0
39,0,1024,0,0
40,256,0,0,0
41,0,1024,0,0
42,256,1024,0,0
43,0,1024,0,0
45,0,1024,0,0
46,256,0,0,0
47,128,0,0,0
48,256,1024,0,0
49,256,0,0,0
50,0,1024,0,0
51,0,0,0,64
52,256,0,0,0
53,256,0,0,0
54,512,0,0,0
55,0,1024,0,0
56,256,0,0,0
58,256,0,0,0
59,256,2048,0,0
60,256,0,0,0
61,256,2048,0,0
62,256,0,0,0
63,256,0,0,0
64,256,0,0,0
66,256,0,0,0
67,512,0,0,0
68,0,500,0,0
69,32,0,0,0
70,0,1024,0,0
71,0,1024,0,0
73,256,0,0,0
74,256,0,0,0
75,128,1024,0,0
76,0,1024,0,0
77,0,1024,0,0
78,0,2048,0,0
79,128,1024,0,0
80,0,1024,0,0
81,128,1024,0,0
82,256,0,0,0
84,256,0,0,0
85,128,0,0,0
87,128,1024,0,0
88,256,0,0,0
89,256,0,0,0
90,128,1024,0,0
91,256,0,0,0
92,0,1024,0,0
93,0,1024,0,0
94,512,0,0,0
96,256,0,0,0
97,256,0,0,0
98,0,1024,0,0
99,256,0,0,0
100,256,0,0,0
102,128,1024,0,0
103,256,0,0,0
104,0,500,0,0
105,0,1024,0,0
106,256,0,0,0
107,256,0,0,0
108,256,0,0,0
109,0,1024,0,0
110,256,0,0,0
111,256,1024,0,0
112,256,0,0,0
113,256,1024,0,0
114,256,0,0,0
115,256,0,0,0
116,0,500,0,0
117,256,0,0,0
118,256,0,0,0
119,512,0,0,0
120,256,1024,0,0
121,0,1024,0,0
123,0,1024,0,0
126,512,0,0,0
127,256,0,0,0
128,0,500,0,0
129,0,1024,0,0
130,64,0,0,0
131,256,2048,0,0
132,256,0,0,0
133,0,1024,0,0
135,256,0,0,0
136,256,0,0,0
137,0,1024,0,0
138,256,0,0,0
139,0,1024,0,0
140,128,1024,0,0
141,0,1024,0,0
145,256,0,0,0
146,0,500,0,0
149,512,0,0,0
150,0,1024,0,0
151,256,1024,0,0
152,0,1024,0,0
153,512,0,0,0
154,0,0,1024,0
156,256,1024,0,0
157,256,0,0,0
158,256,0,0,0
159,256,0,0,0
160,256,0,0,0
161,256,0,0,0
163,0,500,0,0
164,0,1024,0,0
